-,-,-
--start---
10, -405, 1004
43, -556, 976
43, -556, 976
56, -458, 1000
101, -197, 998
-,-,-
30, 86, 986
62, 57, 988
17, 153, 1000
41, 185, 1007
12, 204, 1004
12, 204, 1004
18, 130, 1012
37, 43, 1006
23, 4, 980
4, 24, 990
4, 24, 990
-1, -36, 1030
18, -45, 971
26, -49, 1026
26, -49, 1026
49, -52, 985
57, -68, 1012
56, -40, 997
50, -103, 988
50, -103, 988
48, -139, 996
52, -249, 1017
-1, -352, 1005
0, -529, 975
28, -401, 1005
-,-,-
1, 196, 995
-5, 211, 991
13, 172, 1003
38, 130, 1008
38, 130, 1008
58, 207, 995
31, 266, 1010
48, 313, 986
16, 287, 1008
54, 165, 1016
54, 165, 1016
70, 52, 1001
28, 7, 986
16, -65, 988
16, -65, 988
5, -124, 1021
30, -116, 993
43, -54, 1010
59, -73, 975
78, -144, 1023
78, -144, 1023
59, -203, 987
67, -342, 1010
37, -352, 987
35, -484, 999
55, -495, 1001
57, -302, 994
-,-,-
70, 313, 983
33, 179, 995
15, 165, 1018
20, 234, 991
51, 294, 997
51, 294, 997
63, 335, 983
86, 327, 1019
81, 276, 1021
55, 113, 1002
55, 113, 1002
34, 15, 992
-23, -43, 1000
-18, -69, 981
2, -90, 1014
2, -90, 994
43, -125, 994
93, -173, 1032
91, -221, 988
84, -246, 1001
66, -331, 988
7, -441, 997
7, -441, 997
0, -591, 1002
69, -494, 988
83, -214, 985
119, -78, 1010
59, -118, 1003
-,-,-
38, 24, 980
16, 67, 1003
16, 67, 1003
5, 66, 1011
0, 307, 1001
-9, 329, 991
50, 194, 996
50, 194, 996
26, 197, 1018
71, 149, 987
20, 139, 1032
48, 99, 981
48, 99, 981
46, -32, 987
49, -94, 1022
59, -148, 976
59, -148, 976
40, -145, 1011
3, -54, 992
-10, -107, 1016
29, -83, 1011
25, -25, 988
24, -17, 1004
24, -17, 1004
30, 13, 984
41, -45, 1025
51, -77, 980
43, -173, 1012
43, -173, 1012
46, -254, 1013
37, -345, 1000
-,-,-
-3, 239, 1006
-25, 207, 990
-25, 207, 990
41, 59, 995
12, 207, 1006
-4, 286, 984
43, 207, 1015
43, 207, 1015
55, 199, 1007
61, 225, 1004
32, 237, 1032
58, 189, 953
39, 88, 1014
39, 88, 1014
43, 15, 976
38, -90, 1042
30, -158, 985
19, -156, 991
19, -156, 991
6, -137, 1005
19, -151, 987
57, -216, 1017
72, -248, 1008
81, -327, 979
78, -336, 995
78, -336, 995
90, -407, 1008
-,-,-
-79, 459, 984
-79, 459, 984
-11, 249, 974
40, 270, 1002
28, 247, 1017
47, 164, 1026
41, 146, 978
41, 146, 978
38, 147, 971
85, -58, 1025
50, -43, 1008
23, -46, 972
23, -46, 972
23, -75, 1021
2, -85, 1008
19, -90, 986
30, -100, 989
30, -100, 989
48, -107, 1008
44, -87, 1004
61, -88, 983
36, -209, 1001
54, -261, 1002
26, -432, 995
26, -432, 995
33, -596, 1002
50, -458, 990
-,-,-
39, 286, 992
-13, 286, 965
17, 209, 995
15, 205, 998
43, 159, 1026
45, 113, 1000
45, 113, 1000
57, 82, 975
20, 119, 1016
22, 124, 994
15, 82, 1021
15, 82, 1021
22, 39, 973
8, 53, 1000
18, 14, 1004
18, 14, 1004
64, -103, 994
71, -96, 1037
42, -47, 969
55, -131, 1021
67, -216, 1005
67, -216, 1005
41, -252, 970
74, -330, 1006
49, -446, 987
68, -526, 1004
-,-,-
16, 175, 992
16, 175, 992
10, 201, 1008
25, 185, 981
17, 243, 1017
9, 243, 998
9, 243, 998
30, 270, 1006
29, 238, 984
52, 153, 1028
52, 153, 1028
40, 100, 996
33, 118, 982
41, 107, 1034
44, 56, 979
44, 56, 979
15, 59, 1004
45, -66, 1007
30, -174, 981
57, -131, 1041
37, -155, 972
37, -155, 972
56, -215, 982
39, -317, 1000
58, -359, 985
74, -454, 1007
91, -530, 1011
154, -435, 968
-,-,-
24, 299, 959
24, 299, 959
-13, 320, 1105
-3, 333, 906
41, 218, 969
71, 110, 981
71, 110, 981
63, 108, 1004
55, 151, 997
23, 228, 1004
33, 230, 1021
31, 193, 956
31, 193, 956
49, 59, 991
48, -35, 1011
28, -7, 960
28, -7, 960
8, -101, 1014
28, -175, 987
15, -200, 1019
56, -203, 990
45, -256, 1003
71, -256, 997
71, -337, 997
104, -435, 992
102, -522, 997
109, -519, 986
108, -214, 983
-,-,-
7, 327, 1004
-4, 285, 1009
-2, 303, 983
20, 299, 991
47, 282, 1001
40, 226, 993
40, 226, 993
74, 85, 993
50, 109, 1027
57, 99, 982
57, 99, 982
55, -54, 995
39, -147, 1000
14, -110, 1000
-6, -48, 1004
-6, -23, 984
-6, -23, 984
-1, -81, 1030
25, -102, 996
47, -78, 993
52, -121, 1008
52, -121, 1008
53, -117, 993
44, -154, 983
59, -283, 1015
83, -384, 997
104, -478, 997
142, -464, 984
-,-,-
0, 107, 1038
-9, 201, 962
-35, 220, 989
-8, 316, 1013
-8, 316, 1013
6, 297, 985
41, 161, 1032
42, 102, 998
41, 77, 987
41, 77, 987
43, 38, 988
28, 59, 1026
51, 1, 997
51, 1, 997
27, -58, 1010
6, -23, 977
6, -23, 977
-4, 4, 1032
22, -26, 963
-11, -60, 1014
16, -108, 1012
17, -85, 1011
17, -85, 1011
24, -44, 980
75, -116, 1000
68, -107, 997
67, -135, 1009
56, -191, 1019
93, -222, 980
93, -222, 980
-,-,-
10, 193, 987
10, 193, 987
-45, 339, 1013
-11, 334, 1014
17, 320, 1014
13, 242, 969
13, 164, 1002
13, 164, 1002
33, 134, 1030
18, 123, 977
57, 15, 992
26, -94, 978
26, -94, 978
12, -55, 1012
8, -55, 982
-5, -69, 973
-23, -69, 1014
-23, -76, 1014
6, -85, 1016
-2, -84, 964
14, -70, 1033
47, -113, 1036
25, -80, 961
25, -80, 961
50, -123, 997
59, -178, 1026
73, -207, 993
90, -295, 978
-,-,-
1, 128, 999
-18, 335, 992
-18, 335, 992
19, 302, 1007
24, 359, 991
41, 344, 1017
32, 233, 997
35, 124, 1009
35, 124, 1009
53, 103, 1000
53, 103, 1003
44, 60, 1001
39, -58, 984
39, -58, 984
45, -111, 992
29, -122, 1018
50, -131, 980
38, -137, 1029
56, -101, 971
28, -139, 1007
28, -139, 1007
64, -151, 1007
53, -217, 1005
86, -246, 1004
90, -333, 991
78, -346, 990
52, -409, 1011
42, -337, 973
-,-,-
-5, 388, 966
82, 261, 1007
8, 197, 998
8, 197, 998
-22, 241, 999
48, 153, 1013
32, 180, 1001
32, 257, 979
32, 257, 979
42, 215, 992
53, 156, 1039
69, 88, 1005
